link_AA,link_AB,link_AC,link_BA,link_BB,link_BC,link_CA,link_CB,link_CC,Q_value,is_adaptive,Q_LSODA,Q_Radau,stiff_flag,avg_sensitivity,avg_precision,max_sensitivity,max_precision,topo_motif
-1,1,-1,-1,0,1,1,-1,-1,0,0,0,0,0,0.0,0.0,0.0,0.0,IFFLP
-1,1,-1,-1,0,1,1,-1,0,1,1,1,0,0,3.1965815779763433,0.937586819830212,3.1965815779763433,0.937586819830212,IFFLP
-1,1,-1,-1,0,1,1,-1,1,1,1,1,0,0,1.0196564425352126,1.3806343520918347,1.0196564425352126,1.3806343520918347,IFFLP
-1,1,-1,-1,0,1,1,0,-1,0,0,0,0,0,0.0,0.0,0.0,0.0,IFFLP
-1,1,-1,-1,0,1,1,0,0,1,1,1,0,0,120.08187887554986,0.957315702541371,120.08187887554986,0.957315702541371,IFFLP
-1,1,-1,-1,0,1,1,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,IFFLP
-1,1,-1,-1,0,1,1,1,-1,1,1,1,0,0,3.8748541412571607,0.9367984041065202,3.8748541412571607,0.9367984041065202,IFFLP
-1,1,-1,-1,0,1,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,IFFLP
-1,1,-1,-1,0,1,1,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,IFFLP
-1,1,-1,-1,1,1,-1,-1,-1,3,1,3,0,0,1.4751633109201292,3.5570890204275396,2.0132337678293113,8.57986421851812,Both
-1,1,-1,-1,1,1,-1,-1,0,2,1,2,0,0,7.486885392182764,118.06918415429698,13.255864389386385,216.1176365477046,Both
-1,1,-1,-1,1,1,-1,-1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,Both
-1,1,-1,-1,1,1,-1,0,-1,0,0,0,0,0,0.0,0.0,0.0,0.0,Both
-1,1,-1,-1,1,1,-1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Both
-1,1,-1,-1,1,1,-1,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,Both
-1,1,-1,-1,1,1,-1,1,-1,0,0,0,0,0,0.0,0.0,0.0,0.0,Both
-1,1,-1,-1,1,1,-1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Both
-1,1,-1,-1,1,1,-1,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,Both
-1,1,-1,-1,1,1,0,-1,-1,1,1,1,0,0,347.911019912793,1.377279115819844,347.911019912793,1.377279115819844,IFFLP
-1,1,-1,-1,1,1,0,-1,0,3,1,3,0,0,3.120715271722998,1.3050888551625233,5.6533251228864225,1.495183361376247,IFFLP
-1,1,-1,-1,1,1,0,-1,1,5,1,5,0,0,6.044868049563413,2.320596457087108,12.29231684966383,5.876377503911267,IFFLP
-1,1,-1,-1,1,1,0,0,-1,0,0,0,0,0,0.0,0.0,0.0,0.0,IFFLP
-1,1,-1,-1,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,IFFLP
-1,1,-1,-1,1,1,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,IFFLP
-1,1,-1,-1,1,1,0,1,-1,0,0,0,0,0,0.0,0.0,0.0,0.0,IFFLP
-1,1,-1,-1,1,1,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,IFFLP
-1,1,-1,-1,1,1,0,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,IFFLP
-1,1,-1,-1,1,1,1,-1,-1,3,1,3,0,0,6.1299443707255845,1.6267580375111805,7.166470298458918,2.7055321045119216,IFFLP
-1,1,-1,-1,1,1,1,-1,0,1,1,1,0,0,3.113176876893181,3.8638021207088378,3.113176876893181,3.8638021207088378,IFFLP
-1,1,-1,-1,1,1,1,-1,1,7,1,7,0,0,60.10071218573986,5762.692490844037,355.02090375609913,40324.78513862715,IFFLP
-1,1,-1,-1,1,1,1,0,-1,0,0,0,0,0,0.0,0.0,0.0,0.0,IFFLP
-1,1,-1,-1,1,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,IFFLP
-1,1,-1,-1,1,1,1,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,IFFLP
-1,1,-1,-1,1,1,1,1,-1,0,0,0,0,0,0.0,0.0,0.0,0.0,IFFLP
-1,1,-1,-1,1,1,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,IFFLP
-1,1,-1,-1,1,1,1,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,IFFLP
-1,1,-1,0,-1,1,-1,-1,-1,1,1,1,0,0,1.562141898024432,1.0881287736051015,1.562141898024432,1.0881287736051015,Both
-1,1,-1,0,-1,1,-1,-1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Both
-1,1,-1,0,-1,1,-1,-1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,Both
-1,1,-1,0,-1,1,-1,0,-1,0,0,0,0,0,0.0,0.0,0.0,0.0,Both
-1,1,-1,0,-1,1,-1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Both
-1,1,-1,0,-1,1,-1,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,Both
-1,1,-1,0,-1,1,-1,1,-1,0,0,0,0,0,0.0,0.0,0.0,0.0,Both
-1,1,-1,0,-1,1,-1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Both
-1,1,-1,0,-1,1,-1,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,Both
-1,1,-1,0,-1,1,0,-1,-1,0,0,0,0,0,0.0,0.0,0.0,0.0,IFFLP
-1,1,-1,0,-1,1,0,-1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,IFFLP
-1,1,-1,0,-1,1,0,-1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,IFFLP
-1,1,-1,0,-1,1,0,0,-1,0,0,0,0,0,0.0,0.0,0.0,0.0,IFFLP
-1,1,-1,0,-1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,IFFLP
-1,1,-1,0,-1,1,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,IFFLP
-1,1,-1,0,-1,1,0,1,-1,0,0,0,0,0,0.0,0.0,0.0,0.0,IFFLP
-1,1,-1,0,-1,1,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,IFFLP
-1,1,-1,0,-1,1,0,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,IFFLP
-1,1,-1,0,-1,1,1,-1,-1,0,0,0,0,0,0.0,0.0,0.0,0.0,IFFLP
-1,1,-1,0,-1,1,1,-1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,IFFLP
-1,1,-1,0,-1,1,1,-1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,IFFLP
-1,1,-1,0,-1,1,1,0,-1,0,0,0,0,0,0.0,0.0,0.0,0.0,IFFLP
-1,1,-1,0,-1,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,IFFLP
-1,1,-1,0,-1,1,1,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,IFFLP
-1,1,-1,0,-1,1,1,1,-1,0,0,0,0,0,0.0,0.0,0.0,0.0,IFFLP
-1,1,-1,0,-1,1,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,IFFLP
-1,1,-1,0,-1,1,1,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,IFFLP
-1,1,-1,0,0,1,-1,-1,-1,0,0,0,0,0,0.0,0.0,0.0,0.0,Both
-1,1,-1,0,0,1,-1,-1,0,1,1,1,0,0,1.0788275301330807,2.582605918270184,1.0788275301330807,2.582605918270184,Both
-1,1,-1,0,0,1,-1,-1,1,1,1,1,0,0,1.5653631337755578,138.4767612988602,1.5653631337755578,138.4767612988602,Both
-1,1,-1,0,0,1,-1,0,-1,0,0,0,0,0,0.0,0.0,0.0,0.0,Both
-1,1,-1,0,0,1,-1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Both
-1,1,-1,0,0,1,-1,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,Both
-1,1,-1,0,0,1,-1,1,-1,0,0,0,0,0,0.0,0.0,0.0,0.0,Both
-1,1,-1,0,0,1,-1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Both
-1,1,-1,0,0,1,-1,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,Both
-1,1,-1,0,0,1,0,-1,-1,0,0,0,0,0,0.0,0.0,0.0,0.0,IFFLP
-1,1,-1,0,0,1,0,-1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,IFFLP
-1,1,-1,0,0,1,0,-1,1,1,1,1,0,0,11.403518657496447,1.2289410320764698,11.403518657496447,1.2289410320764698,IFFLP
-1,1,-1,0,0,1,0,0,-1,0,0,0,0,0,0.0,0.0,0.0,0.0,IFFLP
-1,1,-1,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,IFFLP
-1,1,-1,0,0,1,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,IFFLP
-1,1,-1,0,0,1,0,1,-1,0,0,0,0,0,0.0,0.0,0.0,0.0,IFFLP
-1,1,-1,0,0,1,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,IFFLP
-1,1,-1,0,0,1,0,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,IFFLP
-1,1,-1,0,0,1,1,-1,-1,0,0,0,0,0,0.0,0.0,0.0,0.0,IFFLP
-1,1,-1,0,0,1,1,-1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,IFFLP
-1,1,-1,0,0,1,1,-1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,IFFLP
-1,1,-1,0,0,1,1,0,-1,0,0,0,0,0,0.0,0.0,0.0,0.0,IFFLP
-1,1,-1,0,0,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,IFFLP
-1,1,-1,0,0,1,1,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,IFFLP
-1,1,-1,0,0,1,1,1,-1,0,0,0,0,0,0.0,0.0,0.0,0.0,IFFLP
-1,1,-1,0,0,1,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,IFFLP
-1,1,-1,0,0,1,1,1,1,1,1,1,0,0,1.17999068986556,7.332731945748676,1.17999068986556,7.332731945748676,IFFLP
-1,1,-1,0,1,1,-1,-1,-1,2,1,2,0,0,13.847712553369956,1.6346562678849865,19.45846142793072,1.8157630239125886,Both
-1,1,-1,0,1,1,-1,-1,0,3,1,3,0,0,7.939839420559537,3.5289211423610283,12.108093064422505,7.192646018377111,Both
-1,1,-1,0,1,1,-1,-1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,Both
-1,1,-1,0,1,1,-1,0,-1,0,0,0,0,0,0.0,0.0,0.0,0.0,Both
-1,1,-1,0,1,1,-1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Both
-1,1,-1,0,1,1,-1,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,Both
-1,1,-1,0,1,1,-1,1,-1,0,0,0,0,0,0.0,0.0,0.0,0.0,Both
-1,1,-1,0,1,1,-1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Both
-1,1,-1,0,1,1,-1,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,Both
-1,1,-1,0,1,1,0,-1,-1,1,1,1,0,0,69.10090585103752,3.458284712491323,69.10090585103752,3.458284712491323,IFFLP
-1,1,-1,0,1,1,0,-1,0,4,1,4,0,0,1.6740612247636353,5.5273757004390704,1.9596973765199557,15.164086701666198,IFFLP
